"Coût médian du PMAS, par marché évalué (XAF)",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marchés,"Moustiquaires
(2 par an)","Bidon
(1 tous les six mois)","Draps
(2 par an)","Nattes 
(2 par an)","Bâche 
(1 par an)","Marmites
(2 par an)","Maïs en grains
(38 kg par mois)","Manioc cossette
(30 kg par mois)","Riz
(13 kg par mois)","Haricot 
(8 kg par mois)","Arachide 
(6 kg par mois)","Sucre 
(5 kg par mois)","Sel 
(1 kg par mois)","Viande 
(2 kg par mois)","Huile Végétale 
(5 kg par mois)","Savon 
(5 par mois)","Seau plastique
(20L - un tous les six mois)",NA,"TOTAL PMAS Mensuel 
","Produits alimentaires
",Produits non alimentaires,Produits d'hygiène
Prix médian Bambari,166.66666666666666,302.16666666666669,333.33333333333331,500,1250,750,3528.5714285714284,9000,6760,2612,4500,5000,500,2000,5000,875,458.33333333333331,NA,43536.071428571428,38900.571428571428,3302.166666666667,1333.3333333333333
Prix médian Bangassou,166.66666666666666,416.66666666666669,750,500,1250,1166.6666666666667,5102.8571428571431,5460,3900,3600,6000,7500,500,2800,1500,1250,583.33333333333337,NA,42446.190476190481,36362.857142857145,4250,1833.3333333333335
Prix médian Bangui,166.66666666666666,166.66666666666666,1083.3333333333333,500,1250,666.66666666666663,13707.142857142857,7500,7800,4000,6000,5000,250,4000,5000,687.5,250,NA,58027.976190476191,53257.142857142855,3833.333333333333,937.5
Prix médian Bocaranga,166.66666666666666,354.16666666666669,500,416.66666666666669,1250,666.66666666666663,21714.285714285714,6000,5200,3200,8000,7500,666.66666666666663,6000,6500,1000,458.33333333333331,NA,69593.452380952382,64780.952380952374,3354.1666666666665,1458.3333333333333
Prix médian Bossangoa,166.66666666666666,291.66666666666669,583.33333333333337,500,1041.6666666666667,416.66666666666669,5700,4500,13000,2400,4800,5500,300,2000,5000,750,333.33333333333331,NA,47283.333333333336,43200,3000,1083.3333333333333
Prix médian Kagabandoro,166.66666666666666,312.5,666.66666666666663,500,1250,833.33333333333337,27142.857142857141,18000,13000,6200,7000,5000,666.66666666666663,2000,5000,1250,416.66666666666669,NA,89405.357142857159,84009.523809523816,3729.1666666666665,1666.6666666666667
Prix médian Kouango,166.66666666666666,166.66666666666666,500,500,1250,833.33333333333337,22800,15000,7800,5600,6000,5000,600,3000,7500,1000,416.66666666666669,NA,78133.333333333343,73300,3416.6666666666665,1416.6666666666667
Prix médian national,166.66666666666666,302.08333333333331,541.66666666666663,500,1250,750,13707.142857142857,7500,7800,3600,6000,5000,500,2800,5000,1000,416.66666666666669,NA,56834.226190476191,51907.142857142855,3510.4166666666665,1416.6666666666667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Le coût médian du PMAS est obtenu en multipliant le prix médian des articles par les quantités listées dans l'onglet suivant ""Composition du PMAS"". Il s'agit des quantités estimées comme nécessaire pour un mois, pour un ménage de 5 personnes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lorsque le prix est noté en rouge cela signifie que REACH ne disposait pas de suffisament de cotations pour calculer le coût médian de l'article et l'a donc remplacé par le coût médian observé à l'échelle nationale (c'est-à-dire de toutes les localités étudiées dans le cadre du suivi des marchés) comme le prévoit la méthodologie.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
